Date,Full,No,Partial,Stable
2010-01-01,98.07000000000001,0.62,1.24,1.8599999999999999
2010-04-01,98.07000000000001,0.62,1.24,1.8599999999999999
2010-07-01,98.07000000000001,0.62,1.24,1.8599999999999999
2010-10-01,98.07000000000001,0.62,1.24,1.8599999999999999
2011-01-01,98.07000000000001,0.62,1.24,1.8599999999999999
2011-04-01,98.07000000000001,0.62,1.24,1.8599999999999999
2011-07-01,98.03,0.66,1.24,1.9
2011-10-01,98.03,0.66,1.24,1.9
2012-01-01,98.03,0.66,1.24,1.9
2012-04-01,98.03,0.66,1.24,1.9
2012-07-01,98.03,0.66,1.24,1.9
2012-10-01,98.03,0.66,1.24,1.9
2013-01-01,98.06,0.66,1.21,1.87
2013-04-01,98.06,0.66,1.21,1.87
2013-07-01,98.06,0.66,1.21,1.87
2013-10-01,98.06,0.66,1.21,1.87
2014-01-01,98.06,0.66,1.21,1.87
2014-04-01,98.09,0.66,1.18,1.8399999999999999
2014-07-01,98.09,0.66,1.18,1.8399999999999999
2014-10-01,98.09,0.66,1.18,1.8399999999999999
2015-01-01,98.09,0.66,1.18,1.8399999999999999
2015-04-01,98.09,0.66,1.18,1.8399999999999999
2015-07-01,98.09,0.66,1.18,1.8399999999999999
2015-10-01,98.29,0.66,0.98,1.6400000000000001
2016-01-01,98.29,0.66,0.98,1.6400000000000001
2016-04-01,98.29,0.66,0.98,1.6400000000000001
2016-07-01,98.29,0.66,0.98,1.6400000000000001
2016-10-01,98.29,0.66,0.98,1.6400000000000001
2017-01-01,98.29,0.66,0.98,1.6400000000000001
2017-04-01,98.29,0.66,0.98,1.6400000000000001
2017-07-01,98.29,0.66,0.98,1.6400000000000001
2017-10-01,98.29,0.66,0.98,1.6400000000000001
2018-01-01,76.68,0.66,22.59,23.25
2018-04-01,76.68,0.66,22.59,23.25
2018-07-01,76.68,0.66,22.59,23.25
2018-10-01,76.68,0.66,22.59,23.25
2019-01-01,76.68,0.66,22.59,23.25
2019-04-01,76.68,0.66,22.59,23.25
2019-07-01,76.68,0.66,22.59,23.25
2019-10-01,76.68,0.66,22.59,23.25
2020-01-01,76.68,0.66,22.59,23.25
2020-04-01,76.68,0.66,22.59,23.25
2020-07-01,76.68,0.66,22.59,23.25
2020-10-01,76.68,0.66,22.59,23.25
2021-01-01,76.68,0.66,22.59,23.25
2021-04-01,76.68,0.66,22.59,23.25
2021-07-01,76.66,0.6799999999999999,22.59,23.27
2021-10-01,76.66,0.6799999999999999,22.59,23.27
2022-01-01,74.81,2.5300000000000002,22.59,25.12
2022-04-01,74.81,2.5300000000000002,22.59,25.12
2022-07-01,74.81,2.5300000000000002,22.59,25.12
2022-10-01,74.81,2.5300000000000002,22.59,25.12
2023-01-01,74.81,2.5300000000000002,22.59,25.12
2023-04-01,74.81,2.5300000000000002,22.59,25.12
2023-07-01,74.81,2.5300000000000002,22.59,25.12
2023-10-01,74.81,2.5300000000000002,22.59,25.12
2024-01-01,74.81,2.5300000000000002,22.59,25.12
2024-04-01,74.81,2.5300000000000002,22.59,25.12
2024-07-01,74.81,2.5300000000000002,22.59,25.12
2024-10-01,74.81,2.5300000000000002,22.59,25.12
2025-01-01,74.81,2.5300000000000002,22.59,25.12
2025-04-01,23.26,76.67,3.3499999999999996,80.02
