date,value
1/1/2012,29.73
2/1/2012,30.24
3/1/2012,29.63
4/1/2012,30.27
5/1/2012,29.58
6/1/2012,30.68
7/1/2012,31.07
8/1/2012,32.64
9/1/2012,31.12
10/1/2012,31.19
11/1/2012,31.06
12/1/2012,33.35
1/1/2013,33.48
2/1/2013,33.91
3/1/2013,35.79
4/1/2013,35.63
5/1/2013,36.6
6/1/2013,36.42
7/1/2013,36.14
8/1/2013,37.93
9/1/2013,36.85
10/1/2013,38.12
11/1/2013,37.98
12/1/2013,39.52
1/1/2014,38.75
2/1/2014,38.9
3/1/2014,40.19
4/1/2014,42.51
5/1/2014,41.62
6/1/2014,41.87
7/1/2014,42.07
8/1/2014,43.82
9/1/2014,42.92
10/1/2014,43.11
11/1/2014,43
12/1/2014,44.6
1/1/2015,43.41
2/1/2015,43.09
3/1/2015,44.64
4/1/2015,45.3
5/1/2015,44.96
6/1/2015,45.01
7/1/2015,43.57
8/1/2015,44.82
9/1/2015,43.27
10/1/2015,42.38
11/1/2015,42.68
12/1/2015,43.89
1/1/2016,42.96
2/1/2016,41.4
3/1/2016,43.09
4/1/2016,41.12
5/1/2016,41.68
6/1/2016,40.97
7/1/2016,41.3
8/1/2016,42.5
9/1/2016,41.08
10/1/2016,40.55
11/1/2016,41.07
12/1/2016,42.09
1/1/2017,40.72
2/1/2017,40.86
3/1/2017,41.8
4/1/2017,42.14
5/1/2017,40.58
6/1/2017,40.47
7/1/2017,39.83
8/1/2017,40.72
9/1/2017,39.79
10/1/2017,39.46
11/1/2017,39.3
12/1/2017,37.99
1/1/2018,38.53
2/1/2018,38
3/1/2018,39.45
4/1/2018,39.21
5/1/2018,34.4
6/1/2018,34.35
7/1/2018,38.99
8/1/2018,39.69
9/1/2018,38.66
10/1/2018,34.71
11/1/2018,39.56
12/1/2018,41.57
1/1/2019,40.08
2/1/2019,39.07
3/1/2019,40.01
4/1/2019,40.76
5/1/2019,40
6/1/2019,40.1
7/1/2019,40.01
8/1/2019,51.7
9/1/2019,40.51
10/1/2019,40.64
11/1/2019,40.39
12/1/2019,42.22
1/1/2020,40.81
2/1/2020,41.48
3/1/2020,44.1
4/1/2020,43.37
5/1/2020,42.52
6/1/2020,40.33
7/1/2020,38.77
8/1/2020,38.96
9/1/2020,38.45
10/1/2020,37.64
11/1/2020,37.63
12/1/2020,38.73
1/1/2021,38.26
2/1/2021,38.43
3/1/2021,39.43
4/1/2021,39.77
5/1/2021,38.35
6/1/2021,40.64
7/1/2021,39.38
8/1/2021,40.04
9/1/2021,39.45
10/1/2021,39.16
11/1/2021,39.16
12/1/2021,40.51
1/1/2022,39.92
2/1/2022,38.85
3/1/2022,41.07
4/1/2022,41.81
5/1/2022,41.13
6/1/2022,41.16
7/1/2022,41.19
8/1/2022,42.63
9/1/2022,42.31
10/1/2022,42.05
11/1/2022,41.38
12/1/2022,41.89
1/1/2023,40.12
2/1/2023,41.1
3/1/2023,41.74
4/1/2023,42.71
5/1/2023,42.6
6/1/2023,42.02
7/1/2023,46.46
8/1/2023,48.03
9/1/2023,46.58
10/1/2023,47.25
11/1/2023,47.08
12/1/2023,47.54
1/1/2024,46.64
2/1/2024,46.56
3/1/2024,47.37
4/1/2024,47.31
5/1/2024,47.84
6/1/2024,47.08
7/1/2024,47.81
8/1/2024,49.07
9/1/2024,47.01
10/1/2024,47.01
11/1/2024,47.68
12/1/2024,44.12
1/1/2025,50.17
2/1/2025,48.95
3/1/2025,49.08
4/1/2025,49.68
5/1/2025,48.46
