value,date,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
29.866666666666667,2012-04-01,NA,NA,NA,NA,NA,NA
30.176666666666666,2012-07-01,NA,NA,NA,NA,NA,NA
31.61,2012-10-01,NA,NA,NA,NA,NA,NA
31.866666666666667,2013-01-01,NA,NA,NA,NA,NA,NA
34.39333333333333,2013-04-01,NA,NA,NA,NA,NA,NA
36.21666666666667,2013-07-01,NA,NA,NA,NA,NA,NA
36.973333333333336,2013-10-01,NA,NA,NA,NA,NA,NA
38.54,2014-01-01,NA,NA,33.705416666666665,3.2905043457206298,NA,1.4692529853731426
39.28,2014-04-01,NA,NA,34.882083333333334,3.4028465849862206,NA,1.2924228456465885
42,2014-07-01,NA,NA,36.36,3.6273848203520727,NA,1.5548391690773475
42.93666666666667,2014-10-01,NA,NA,37.77583333333333,3.7178875850727513,NA,1.3881090310675301
43.57,2015-01-01,NA,NA,39.238749999999996,3.3443327744632723,NA,1.2951013825755187
43.71333333333333,2015-04-01,NA,NA,40.403749999999995,3.023195217877406,NA,1.094730275359791
45.089999999999996,2015-07-01,NA,NA,41.51291666666666,2.892483657058272,NA,1.236682297099413
43.88666666666667,2015-10-01,NA,NA,42.37708333333333,2.318183770123389,NA,0.6511922621445102
42.983333333333334,2016-01-01,NA,NA,42.9325,1.723545395444729,NA,0.02949346937289124
42.483333333333334,2016-04-01,NA,NA,43.33291666666666,0.9541329272471111,NA,-0.8904244985911636
41.25666666666667,2016-07-01,NA,NA,43.239999999999995,1.123620847761293,NA,-1.7651268550996797
41.626666666666665,2016-10-01,NA,NA,43.076249999999995,1.2611778791499402,NA,-1.1493884861906858
41.236666666666665,2017-01-01,NA,NA,42.78458333333333,1.3935417222839188,NA,-1.1107788463841162
41.126666666666665,2017-04-01,NA,NA,42.46125,1.4463483712823517,NA,-0.9227260595247017
41.06333333333333,2017-07-01,NA,NA,41.95791666666666,1.046118961185765,NA,-0.8551449371678808
40.11333333333333,2017-10-01,NA,NA,41.48625,0.8914842937661597,NA,-1.5400346099948126
38.916666666666664,2018-01-01,NA,NA,40.977916666666665,1.059480162289845,NA,-1.945529584570078
38.660000000000004,2018-04-01,NA,NA,40.5,1.1424729512966347,NA,-1.6105414118659986
35.986666666666665,2018-07-01,NA,NA,39.841249999999995,1.9072317989485792,NA,-2.021035584378516
39.11333333333333,2018-10-01,NA,NA,39.52708333333333,1.773425917293131,NA,-0.23330548852670863
38.61333333333334,2019-01-01,NA,NA,39.19916666666666,1.6504244283367817,NA,-0.3549591991459439
39.72,2019-04-01,NA,NA,39.02333333333333,1.4820824045808834,NA,0.4700593330798466
40.28666666666667,2019-07-01,NA,NA,38.926249999999996,1.3488083364849985,NA,1.008606360049587
44.07333333333333,2019-10-01,NA,NA,39.42125,2.2633126007185633,NA,2.0554311993210184
41.083333333333336,2020-01-01,NA,NA,39.69208333333333,2.323150527412262,NA,0.5988634759494936
42.13,2020-04-01,NA,NA,40.12583333333333,2.4246451221269414,NA,0.8265814441779339
42.07333333333333,2020-07-01,NA,NA,40.88666666666666,1.81978980122291,NA,0.6520899643844691
38.72666666666667,2020-10-01,NA,NA,40.83833333333333,1.8778271807157643,NA,-1.1245266275577972
38,2021-01-01,NA,NA,40.76166666666666,1.990769174154026,NA,-1.387236000296332
38.70666666666666,2021-04-01,NA,NA,40.635,2.0959734640268612,NA,-0.9200180090202811
39.586666666666666,2021-07-01,NA,NA,40.5475,2.1269747127249605,NA,-0.4517370740634559
39.623333333333335,2021-10-01,NA,NA,39.99125,1.586344442571093,NA,-0.23192735246726062
39.61,2022-01-01,39.423,3.7199393279983215,39.80708333333333,1.5258153558016123,0.050269637085887976,-0.12916591288976165
39.946666666666665,2022-04-01,39.675,3.3820436681419968,39.534166666666664,1.214464085872042,0.08032618538480155,0.3396559888420308
41.36666666666667,2022-07-01,39.954750000000004,3.019609216759235,39.44583333333333,1.0122625137904682,0.4675825795041082,1.8975644234228104
42.04333333333334,2022-10-01,40.215583333333335,2.715622041043372,39.860416666666666,1.3108066551942703,0.6730502155218037,1.6653231489301128
41.77333333333333,2023-01-01,40.46325,2.3636029872202693,40.33208333333333,1.2215822909860787,0.554273852426487,1.1798222769229947
40.986666666666665,2023-04-01,40.628083333333336,2.149665565654235,40.61708333333333,1.0407787644393682,0.16680889300294305,0.355102684605996
42.443333333333335,2023-07-01,40.783750000000005,2.0449228612705683,40.97416666666666,1.123508888359244,0.8115628050156299,1.3076591399398922
47.02333333333333,2023-10-01,41.035000000000004,2.177829626105284,41.899166666666666,2.29155506221749,2.7496794338511,2.236108898779032
47.29,2024-01-01,41.253750000000004,2.353179359566669,42.85916666666667,2.7569800305567846,2.5651465858138214,1.6071329078283187
46.85666666666667,2024-04-01,41.44316666666667,2.4911253249516343,43.72291666666666,2.7963090397936607,2.1731142732070707,1.1206737007263137
47.410000000000004,2024-07-01,41.57841666666667,2.663060915595237,44.47833333333333,2.883768478037139,2.1898047090033916,1.016609581869809
47.96333333333333,2024-10-01,41.70408333333334,2.8414264993629614,45.218333333333334,2.928872148710501,2.2028547989551366,0.9372208347191061
46.269999999999996,2025-01-01,41.77158333333334,2.9179294445873336,45.78041666666667,2.584528717286034,1.5416468259748626,0.18942847493195242
49.4,2025-04-01,41.91375000000001,3.14468240960275,46.83208333333333,2.0011369288323335,2.380606059657925,1.283228863386701
49.07,2025-07-01,42.01325,3.3065568536614833,47.66041666666666,1.0882422662986078,2.134168657098933,1.295284494074737
