date,weighted_z_1,weighted_z_2,weighted_z_3,weighted_z_4,total_weighted_z
2014-01-01,-0.3613261847402179,0.30694468206988645,0.19832819427856305,0.36731324634328566,0.5112599379515173
2014-04-01,0.5338685751273758,0.22679302582628208,0.2528412530768922,0.3231057114116471,1.3366085654421973
2014-07-01,0.37983883884248015,0.16064507521632618,0.2999097346994951,0.3887097922693369,1.2291034410276382
2014-10-01,0.4967307042035405,0.4722461993999637,0.5145634804958293,0.3470272577668825,1.830567641866216
2015-01-01,0.41010522399611576,0.36782165447038595,0.4805267447424649,0.3237753456438797,1.5822289688528464
2015-04-01,0.38124641639744633,0.4223550055385571,0.4839149781831031,0.27368256883994774,1.5611989689590542
2015-07-01,0.217037220526607,0.22340221126747525,0.3195830013241651,0.3091705742748532,1.0691930073931006
2015-10-01,0.1985541558740025,0.20150019015074164,0.2708399572305248,0.16279806553612755,0.8336923687913964
2016-01-01,0.20169218717098325,0.2700641998099305,0.26090116950991243,0.00737336734322281,0.740030923834049
2016-04-01,0.09429766665417118,0.06487826668995052,0.1635419997226836,-0.2226061246477909,0.1001118084190144
2016-07-01,-0.09669298292082015,0.21430246440304115,0.2567413442809332,-0.4412817137749199,-0.06693088801176572
2016-10-01,-0.43809478113882144,0.21349563954149078,0.3274104759668377,-0.28734712154767145,-0.1845357871781644
2017-01-01,-0.03824095106136104,0.5362350985895092,0.5117477839982184,-0.27769471159602904,0.7320472199303376
2017-04-01,-0.3719890210698132,0.25175138982727463,0.34918042939306,-0.2306815148811754,-0.0017387167306539553
2017-07-01,-0.4916280694875528,6.105661108480564e-4,0.1134550126063196,-0.2137862342919702,-0.5913487250623554
2017-10-01,-0.4072729029654878,-0.12992226905440324,0.01612847997809891,-0.38500865249870314,-0.9060753445404952
2018-01-01,-0.43689304037486454,-0.23221287838182134,-0.03639759494395411,-0.4863823961425195,-1.1918859098431596
2018-04-01,-0.3168609186716108,-0.5277381361053398,-0.26147584027571497,-0.40263535296649966,-1.5087102480191652
2018-07-01,-0.3116753434701873,-0.32684413517542743,0.13156741336523123,-0.505258896094629,-1.0122109613750125
2018-10-01,-0.3116423256015689,-0.3136922620733946,0.13383442385326255,-0.05832637213167716,-0.5498265359533782
2019-01-01,-0.301917203944146,-0.09181265688816001,0.247388696463841,-0.08873979978648598,-0.235080964154951
2019-04-01,-0.2599862169469483,-0.22012067749218928,0.31927740525796283,0.11751483326996165,-0.043314655911213085
2019-07-01,-0.3389788520045951,-0.28067507469954334,0.2047501758980017,0.25215159001239673,-0.16275216079374
2019-10-01,-0.19924174781083617,-0.03034898967908281,0.35843396812887196,0.5138577998302546,0.6427010304692076
2020-01-01,-0.41727703215956635,0.3156560933849501,0.11419451422026809,0.1497158689873734,0.16228944443302523
2020-04-01,0.08921394407277244,0.5276308472221087,0.38513357481416244,0.20664536104448347,1.2086237271535272
2020-07-01,-0.1460121013997419,0.15455993614535304,0.05249478776294656,0.16302249109611727,0.22406511360467496
2020-10-01,-0.4383080005062872,-0.20856536210337903,-0.27377816265155297,-0.2811316568894493,-1.2017831821506686
2021-01-01,-0.534826056529814,-0.17109540004756582,-0.5179566474760146,-0.346809000074083,-1.5706871041274773
2021-04-01,-0.3026380739305158,-0.18333192296438125,-0.11755706298948067,-0.2300045022550703,-0.833531562139448
2021-07-01,-0.2748956494584874,-0.27346932810520036,-0.1491336176442002,-0.11293426851586398,-0.8104328637237519
2021-10-01,-0.20333849913752636,-0.030689643014718743,0.10011130599000667,-0.05798183811681516,-0.1918986742790536
2022-01-01,-0.2373170809782256,0.13033891979578216,0.2106551408409696,-0.03229147822244041,0.07138550143608574
2022-04-01,-0.16208164195917057,0.19429502317920566,0.2893459113503348,0.0849139972105077,0.40647328978087754
2022-07-01,0.18334547642151328,0.2842631743025495,0.4779810108061589,0.4743911058557026,1.4199807673859244
2022-10-01,0.4525596742946284,0.3800767643403806,0.4603479100469628,0.4163307872325282,1.7093151359145
2023-01-01,-0.3588662193002792,-0.132097446192902,0.055721966853461695,0.2949555692307487,-0.14028612940897076
2023-04-01,0.10191470151755891,-0.3020571215091848,-0.1006179598502053,0.088775671151499,-0.2119847086903322
2023-07-01,0.06495487265925179,-0.33465589564279224,-0.20364497258492764,0.32691478498497306,-0.14643121058349504
2023-10-01,-0.04399725737394353,-0.05210431493551006,-0.1252301054449886,0.559027224694758,0.3376955469403158
2024-01-01,-0.34884469613446784,-0.14064545347720686,-0.27465951215400547,0.4017832269570797,-0.3623664348086005
2024-04-01,-0.12238791015353152,-0.006867816079949772,-0.16877400124972952,0.2801684251815784,-0.0178613023016324
2024-07-01,-0.3380446250261071,0.2395312923556306,-0.08804137206516083,0.2541523954674523,0.06759769073181493
2024-10-01,-0.47114289633451917,0.07719735579634364,-0.4106221516874625,0.2343052086797765,-0.5702624835458615
2025-01-01,-0.24620443762699942,0.49241455054468386,0.41570969381115497,0.0473571187329881,0.7092769254618275
