date,goal_one_value,goal_two_value,goal_four_value,goal_five_value,goal_six_value,goal_seven_value,goal_eight_value,goal_three_value,goal_score
2022-04-01,1,1,1,1,0,0,0,2,0.375
2022-07-01,1,0,1,2,1,0,0,2,0.4375
2022-10-01,1,0,1,2,1,0,0,2,0.4375
2023-01-01,1,0,1,1,1,0,0,2,0.375
2023-04-01,1,1,1,1,1,1,0,2,0.5
2023-07-01,1,1,1,1,1,1,0,2,0.5
2023-10-01,1,1,2,1,2,0,0,2,0.5625
2024-01-01,1,1,1,1,1,1,0,2,0.5
2024-04-01,1,1,1,1,1,1,0,2,0.5
2024-07-01,1,1,1,1,0,1,0,2,0.4375
2024-10-01,1,1,1,1,0,1,0,2,0.4375
2025-01-01,1,0,1,1,0,1,0,2,0.375
2025-04-01,2,0,1,1,0,2,0,0,0.375
