Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,19315.68883,21393.72086,20452.10711,18515.73121,17853.64048,17937.64189,17782.77554,22269.69632,22729.32758,22394.87566,23082.77405,25362.24083,25567.94388,27227.65311,29346.89781
Australia,23217.69282,26597.19866,26216.58085,24825.26259,25783.70871,24046.20586,26382.94705,27691.11242,26839.82091,26079.34631,27300.8947,32718.06682,32445.33043,32387.9898,33819.57237
New Zealand,1756.916553,1937.686541,1953.081554,1952.413462,1994.775497,1734.778849,1921.815617,2145.345648,2302.338733,2726.151285,2810.182349,2905.571075,2829.085839,3029.024715,2998.527518
Japan,54655.45074,60762.21384,60011.53019,49023.93241,46903.46661,42106.10331,46471.28771,45058.46876,48535.90941,50778.00659,51396.53606,53602.00257,43198.16636,48189.10862,55273.90432
"Korea, Republic of",28175.18122,30991.70795,31951.76081,34311.22072,37552.29895,36570.76932,36885.28343,39170.68214,43069.97334,44102.24075,46117.09657,50873.78811,46365.42071,47801.86304,47571.3186
Philippines,2438.189569,2701.492158,2898.685257,3377.027861,3103.13146,3335.550049,3331.502847,3836.46421,4107.401279,4268.129893,4693.073497,5546.091354,5321.933198,5142.604808,6117.535233
Albania,185.893242,197.0067892,183.2046957,180.0155088,178.120368,132.3506676,130.8532036,144.3826887,175.8866886,197.2259133,196.596309,222.8145401,228.6931596,397.6176131,535.4725592
Bulgaria,832.549293,757.93126,722.052495,811.6343302,747.5325321,632.509635,670.5928584,720.0379709,961.2972746,2158.557527,1119.01154,1275.244891,1436.90137,1989.703478,2329.834254
Croatia,981.799329,1090.923902,953.070002,962.0514956,1076.424946,891.5404797,836.0456834,911.3635215,950.5824882,985.7625515,981.3893288,1360.346003,1282.110613,1439.060332,1629.055602
Czech Republic,2497.902955,2474.313259,2220.610395,2148.784401,2022.883295,1779.887189,1954.935,2077.722061,2710.017583,2910.252497,3252.505062,3935.630965,4005.428326,5056.27731,6524.946704
Estonia,332.180157,389.2375809,436.8529116,479.3144608,512.1190451,463.5688145,497.6534043,537.4402269,614.9451743,637.0353784,718.1123903,748.5808893,818.2789637,1235.949715,1441.919733
Hungary,1350.820413,1472.069832,1322.277703,1280.050962,1209.80189,1132.476292,1288.676093,1702.635637,1615.618734,2190.628592,2768.372537,2409.589009,3256.817191,4355.47807,4734.698456
Latvia,259.6721242,296.8349292,255.7403426,283.5689327,295.7289653,282.6882555,404.5524522,482.4619991,709.3705369,691.8943126,742.04947,823.0842006,856.1427718,1253.79644,1425.694079
Lithuania,326.3209187,344.6052154,328.6316816,354.8621497,426.9136954,471.2210269,635.4481024,812.106965,1056.383745,1093.819973,1174.056765,1306.764428,1734.372765,2162.912001,2627.474142
North Macedonia,130.0214691,132.4619948,119.4104025,126.5063487,124.1851057,99.98365956,103.5201373,100.7546921,119.606164,146.0933804,153.5374829,205.5556632,220.2141874,266.6297127,353.68498
Montenegro,75.0948619,79.37666382,67.7122013,64.83624308,67.54401804,56.8914273,61.71455161,65.73488638,75.3656032,73.96215853,82.92032372,91.13765374,98.01151901,114.2605261,150.0332085
Poland,8790.170132,9455.422988,8986.838792,9275.711727,10345.15357,10212.78578,9164.190587,9870.680628,12040.67342,11786.15385,13718.29143,15295.54173,15341.31342,26342.7643,38000.72865
Romania,2086.22046,2379.871482,2102.886223,2452.512981,2691.470287,2580.594158,2644.159836,3622.068492,4359.021209,4613.040397,5052.321471,5300.529355,5187.965337,5628.033536,8715.729594
Slovakia,1137.680536,1064.842811,1020.180035,967.9231079,997.7038218,985.915493,1003.048084,1049.074347,1295.988102,1802.507837,2047.190243,2064.806055,2085.664762,2441.648912,2849.224738
Slovenia,772.0851075,665.6796714,543.4964165,506.7429321,486.1948704,400.7718753,449.1775391,473.7967572,529.4961227,572.8840125,567.6507466,762.7719962,775.1562934,912.9174031,951.9049999
Austria,3218.351224,3409.721209,3187.227449,3229.065841,3305.159256,2665.409782,2885.947386,3153.118624,3387.982012,3336.542768,3840.077511,4196.428571,3612.733178,4452.227951,5258.693992
Belgium,5244.720513,5499.370964,5168.997834,5263.164883,5191.507315,4202.06277,4255.489555,4432.808396,4840.126058,4761.195701,5317.451271,6239.35667,6890.1613,7629.396589,8561.520106
Denmark,4503.492127,4518.590127,4422.458084,4216.647585,4056.861511,3364.047774,3592.727944,3764.033344,4558.690187,4487.779277,4887.155963,5273.695929,5475.015488,8132.606555,9958.899779
Finland,3717.180505,4099.505807,3943.239958,4161.139945,3985.508352,3399.134967,3415.00825,3431.090217,3754.588482,3635.244066,3868.68802,3831.598865,4446.368019,5928.021054,6987.848067
France,52044.06057,54120.87101,50216.5074,52001.46245,53134.7509,45647.47164,45703.38275,47628.0771,51321.36492,50454.54545,53423.00239,58734.6263,54677.44243,59491.96417,64675.01531
Germany,43025.91501,45163.21288,43798.22535,44242.6473,44662.83117,38170.02107,39909.67859,42281.11268,46497.67596,49079.44469,53318.70512,56513.12677,56153.12124,67285.19864,88458.47639
Greece,8163.619387,7128.608267,5914.988423,5655.183036,5531.285909,4818.121326,4963.484464,5088.178883,5757.114361,5383.116883,5773.28166,8299.905393,8745.382719,7014.878933,8021.963044
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,32020.81995,33828.80497,29781.00821,29957.4459,27701.03433,22180.84507,25033.02789,26447.89292,28420.09844,26380.67398,32929.09381,36232.72233,34691.88116,36933.18093,37964.57832
Luxembourg,247.6673576,232.1524143,214.5718713,233.6823964,252.0794231,249.5286681,235.5559447,323.1380293,355.275427,381.773399,425.1681295,403.2639546,509.9085592,662.4924663,871.6431412
Netherlands,11220.52328,11647.93461,10364.72079,10226.26032,10332.60288,8667.849617,9115.240932,9580.685498,11114.92747,12000.67174,13085.71754,14395.69536,13632.44339,16624.82012,23179.21126
Norway,6498.659038,7232.260585,7143.962183,7391.829787,7336.785328,5815.228175,5997.385048,6853.260033,7541.055169,7542.13579,7225.18314,8435.121611,8697.821939,8797.762487,10435.32038
Portugal,3540.186347,3651.882589,3039.98232,3262.259364,3002.398602,2643.894865,3178.346409,2719.739269,3245.871841,3299.373041,3267.981306,3882.450331,3566.560368,4236.152826,4641.618585
Spain,19710.78545,19695.43549,18860.62336,17242.95932,17178.54931,15187.16868,14014.43964,16043.53326,17823.27113,17189.3193,17431.77932,19544.46547,20306.57063,23821.20216,24615.39793
Sweden,5885.9358,6324.747364,6243.671605,6528.737467,6555.518064,5386.942196,5427.549191,5526.592999,5732.822794,5839.555791,6271.285838,7582.55597,7722.479441,8754.872951,12040.2894
United Kingdom,63979.11197,66569.55257,65452.48755,63837.72486,66995.46865,59990.20572,53327.36609,52075.00843,55832.91641,56567.60204,58332.37179,65148.5958,64069.879,75303.38748,81763.17307
Turkey,17650.46412,17006.47781,17694.32071,18427.6462,17576.53847,15668.75,17827.70215,17822.73826,19648.69382,20436.91712,15782.99091,15254.82983,15036.83569,19577.83192,24978.73553
